OrderID,Date,Product,Category,Price,Quantity,TotalPrice
86,2023-10-15,Huile à barbe "Bois de Santal",Soin de la barbe,18.00,1,18.00
87,2024-01-25,Cire coiffante "Effet Mat",Coiffage,15.75,1,15.75
88,2024-03-25,Après-shampooing "Réparation",Soin des cheveux,27.00,2,54.00
89,2024-05-05,Peigne en bois de poirier,Accessoires,12.50,1,12.50
90,2024-08-05,Coloration "Gris Argenté",Technique,45.00,1,45.00
91,2024-09-25,Rasoir de sûreté "Le Classique",Rasage,35.00,1,35.00
92,2023-12-25,Shampooing "Hydratation Intense",Soin des cheveux,25.50,1,25.50
93,2024-04-28,Huile à barbe "Bois de Santal",Soin de la barbe,18.00,1,18.00
94,2024-06-01,Cire coiffante "Effet Mat",Coiffage,15.75,3,47.25
95,2024-08-15,Après-shampooing "Réparation",Soin des cheveux,27.00,1,27.00
96,2023-11-22,Peigne en bois de poirier,Accessoires,12.50,2,25.00
97,2024-02-15,Coloration "Gris Argenté",Technique,45.00,1,45.00
98,2024-05-15,Rasoir de sûreté "Le Classique",Rasage,35.00,1,35.00
99,2024-09-12,Shampooing "Hydratation Intense",Soin des cheveux,25.50,1,25.50
100,2023-10-01,Huile à barbe "Bois de Santal",Soin de la barbe,18.00,1,18.00
